state,state_name,evalid,point_mmt_c,ci_lower_mmt_c,ci_upper_mmt_c,ci_half_width_mmt_c,n_pairs,n_iter,seed,perturb_litter,perturb_soc,forest_carbon_version
KY,Kentucky,212301,6.62931703342145,5.71660029036171,7.54422146019335,0.91381058491582,2563,10000,42,1,1,0.16.0a3
LA,Louisiana,222301,7.22705861652199,5.8663319063018,8.56797872122084,1.35082340745952,2921,10000,42,1,1,0.16.0a3
MA,Massachusetts,252301,1.39139321091687,0.983695969686566,1.80928119006944,0.412792610191438,517,10000,42,1,1,0.16.0a3
MD,Maryland,242301,1.1394377569522,0.675860947096191,1.59355714976409,0.458848101333952,379,10000,42,1,1,0.16.0a3
ME,Maine,232301,5.58020216786329,4.24412640699163,6.88702251005343,1.3214480515309,3503,10000,42,1,1,0.16.0a3
MI,Michigan,262301,5.65468359991754,4.4882401827026,6.82474939287296,1.16825460508518,4710,10000,42,1,1,0.16.0a3
MN,Minnesota,272301,6.31312199207574,5.42247486231665,7.21085786605175,0.89419150186755,7425,10000,42,1,1,0.16.0a3
MO,Missouri,292301,5.68461136764207,4.78395769380003,6.58412084444531,0.900081575322642,3171,10000,42,1,1,0.16.0a3
MS,Mississippi,282301,15.0231716785267,12.844204465588,17.1880547202173,2.17192512731467,4736,10000,42,1,1,0.16.0a3
MT,Montana,302201,-0.670954330436471,-1.53857197154212,0.198370655620552,0.868471313581338,4479,10000,42,1,1,0.16.0a3
NC,"North Carolina",372301,9.91715067253544,8.2664714541522,11.5685328162405,1.65103068104415,4303,10000,42,1,1,0.16.0a3
ND,"North Dakota",382301,0.12912923269872,-0.0414928611684819,0.298685642992143,0.170089252080313,192,10000,42,1,1,0.16.0a3
NE,Nebraska,312301,0.503999684452967,0.243814785559231,0.774610930508937,0.265398072474853,284,10000,42,1,1,0.16.0a3
NH,"New Hampshire",332301,2.11622188084924,1.5671922005361,2.67797047845917,0.555389138961533,1087,10000,42,1,1,0.16.0a3
NJ,"New Jersey",342301,0.783577035819512,0.497318024936833,1.0689753548121,0.285828664937633,622,10000,42,1,1,0.16.0a3
NM,"New Mexico",352201,-0.84516695008518,-1.68697306435605,-0.00625539999063859,0.840358832182705,2710,10000,42,1,1,0.16.0a3
NV,Nevada,322301,0.116814879384482,-0.328102221670647,0.566007697352599,0.447054959511623,1882,10000,42,1,1,0.16.0a3
NY,"New York",362301,9.84028212030191,8.6740309105378,11.0279139358562,1.17694151265921,2993,10000,42,1,1,0.16.0a3
OH,Ohio,392301,3.61569132751168,2.80411429185822,4.42452045296234,0.810203080552063,1438,10000,42,1,1,0.16.0a3
OK,Oklahoma,402301,4.01948358541148,3.31521193044283,4.71914587185019,0.701966970703682,1650,10000,42,1,1,0.16.0a3
OR,Oregon,412201,7.92136207731829,6.10773024432503,9.67225249718146,1.78226112642821,10621,10000,42,1,1,0.16.0a3
PA,Pennsylvania,422301,5.72090580233476,4.55168709614064,6.91144333565429,1.17987811975683,2878,10000,42,1,1,0.16.0a3
RI,"Rhode Island",442301,0.0294320152547607,-0.0822981960716653,0.134557727217652,0.108427961644659,111,10000,42,1,1,0.16.0a3
SC,"South Carolina",452301,5.392578052246,3.82565587526966,6.91186079269173,1.54310245871103,3281,10000,42,1,1,0.16.0a3
SD,"South Dakota",462301,-0.183249819047454,-0.407930392349268,0.0406967437458887,0.224313568047579,427,10000,42,1,1,0.16.0a3
TN,Tennessee,472301,8.717624634791,7.62180974441899,9.77085270979146,1.07452148268624,3250,10000,42,1,1,0.16.0a3
TX,Texas,482301,11.9929235314808,10.413823228502,13.5777394680662,1.58195811978211,7160,10000,42,1,1,0.16.0a3
UT,Utah,492201,-0.472424628468133,-1.01768642388786,0.0728100079519721,0.545248215919917,3003,10000,42,1,1,0.16.0a3
VA,Virginia,512301,10.2687546329638,8.4341959654734,12.0669849812826,1.81639450790463,3864,10000,42,1,1,0.16.0a3
VT,Vermont,502301,1.8784955537455,1.35991597078522,2.40222361017709,0.521153819695933,934,10000,42,1,1,0.16.0a3
WA,Washington,532201,5.5464085354772,3.78125425808194,7.25432500947223,1.73653537569515,6540,10000,42,1,1,0.16.0a3
WI,Wisconsin,552301,7.41814210952365,6.67619631358712,8.1673263536655,0.745565020039188,7302,10000,42,1,1,0.16.0a3
WV,"West Virginia",542301,7.09725293251311,6.01637836512962,8.12801912562928,1.05582038024983,1929,10000,42,1,1,0.16.0a3
WY,Wyoming,562301,-0.226861309974399,-0.50283146123227,0.0485957552046566,0.275713608218463,566,10000,42,1,1,0.16.0a3
